ARVORE;TORA;DAP;HT;hi;di_cc;e_casca;comp_secao
7;11;17,7;22;10,5;13;1;1
7;12;17,7;22;11,5;12,5;6;1
7;13;17,7;22;12,5;12;5;1
7;14;17,7;22;13,5;11,5;5;1
7;15;17,7;22;14,5;11;5;1
7;16;17,7;22;15,5;10,5;4;1
7;17;17,7;22;16,5;10;4;1
7;18;17,7;22;17,5;9,5;3;1
7;19;17,7;22;18,5;9;3;1
7;20;17,7;22;19,5;8,5;3;1
7;21;17,7;22;20,5;8;3;1
7;22;17,7;22;21,5;7,5;2;1
8;1;16,1;21;0,5;17;1;1
8;2;16,1;21;1,5;16;1;1
8;3;16,1;21;2,5;15;1;1
8;4;16,1;21;3,5;14,5;1;1
8;5;16,1;21;4,5;14;8;1
8;6;16,1;21;5,5;14;7;1
8;7;16,1;21;6,5;13,5;6;1
8;8;16,1;21;7,5;13;6;1
8;9;16,1;21;8,5;12,5;6;1
8;10;16,1;21;9,5;12;5;1
8;11;16,1;21;10,5;12;4;1
8;12;16,1;21;11,5;11,5;4;1
8;13;16,1;21;12,5;11;3;1
8;14;16,1;21;13,5;11;3;1
8;15;16,1;21;14,5;10;3;1
8;16;16,1;21;15,5;9;2;1
8;17;16,1;21;16,5;8,5;2;1
8;18;16,1;21;17,5;8;2;1
8;19;16,1;21;18,5;7,5;2;1
8;20;16,1;21;19,5;6,5;2;1
8;21;16,1;21;20,5;6;1;1
9;1;16,7;19;0,5;17;6;1
9;2;16,7;19;1,5;16,5;5;1
9;3;16,7;19;2,5;16;6;1
9;4;16,7;19;3,5;15,5;5;1
9;5;16,7;19;4,5;15;5;1
9;6;16,7;19;5,5;14,5;5;1
9;7;16,7;19;6,5;14;3;1
9;8;16,7;19;7,5;13,5;3;1
9;9;16,7;19;8,5;13;3;1
9;10;16,7;19;9,5;12,5;3;1
9;11;16,7;19;10,5;12;3;1
9;12;16,7;19;11,5;11,5;3;1
9;13;16,7;19;12,5;11;2;1
9;14;16,7;19;13,5;10,5;2;1
9;15;16,7;19;14,5;10;1;1
9;16;16,7;19;15,5;9,5;1;1
9;17;16,7;19;16,5;9;7;1
9;18;16,7;19;17,5;8,5;5;1
9;19;16,7;19;18,5;7,5;5;1
10;1;16,1;20;0,5;17;5;1
10;2;16,1;20;1,5;16;5;1
10;3;16,1;20;2,5;15,5;4;1
10;4;16,1;20;3,5;15;3;1
10;5;16,1;20;4,5;14;3;1
10;6;16,1;20;5,5;14;3;1
10;7;16,1;20;6,5;13,5;2;1
10;8;16,1;20;7,5;13;2;1
10;9;16,1;20;8,5;12,5;2;1
10;10;16,1;20;9,5;12;2;1
10;11;16,1;20;10,5;12;2;1
10;12;16,1;20;11,5;11,5;2;1
10;13;16,1;20;12,5;11;2;1
10;14;16,1;20;13,5;10;2;1
10;15;16,1;20;14,5;9,5;1;1
10;16;16,1;20;15,5;8,5;8;1
10;17;16,1;20;16,5;8;7;1
10;18;16,1;20;17,5;7,5;6;1
10;19;16,1;20;18,5;7;6;1
10;20;16,1;20;19,5;6,5;5;1
10;1;16,1;20;0,5;17;4;1
10;2;16,1;20;1,5;16;4;1
10;3;16,1;20;2,5;15,5;4;1
10;4;16,1;20;3,5;15;3;1
10;5;16,1;20;4,5;14;2;1
10;6;16,1;20;5,5;14;3;1
10;7;16,1;20;6,5;13,5;3;1
10;8;16,1;20;7,5;13;2;1
10;9;16,1;20;8,5;12,5;2;1
10;10;16,1;20;9,5;12;2;1
10;11;16,1;20;10,5;11,5;2;1
10;12;16,1;20;11,5;11;1;1
10;13;16,1;20;12,5;11;7;1
10;14;16,1;20;13,5;10,5;6;1
10;15;16,1;20;14,5;10;6;1
10;16;16,1;20;15,5;9,5;5;1
